bar_id,roll_c,roll_sigma_u,parkinson_vol_20bar,corwin_schultz_spread,becker_parkinson_sigma,kyle_lambda,amihud_lambda_20bar,vpin_10bar,round_number_fraction,serial_corr_signed_flow,tick_rule_accuracy
0,,,,,,4258.799606176843,,,0.0,0.6408461287109104,0.6666666666666666
1,,,,0.0,0.015129909755013826,2543.297499337925,,,0.0,0.5714285714285716,0.8928571428571429
2,,,,0.0,0.010791476046221249,917.7024533759698,,,0.0,0.20054531545702312,0.5714285714285714
3,,,,0.0,0.013066624852624657,700.2872024710713,,,0.06382978723404255,0.4012280321754779,0.6382978723404256
4,,,,0.0,0.009417046059246589,567.3785453326768,,,0.058823529411764705,0.5755517826825128,0.7450980392156863
5,,,,0.012897758854496504,0.0017856583793078584,-1440.3138117137864,,,0.0,0.43421052631578955,0.4772727272727273
6,,,,0.0036327637565308772,0.005885587746713661,2023.440102477447,,,0.0,0.25000000000000006,0.5675675675675675
7,,,,0.0,0.012166074678868037,3696.818059212336,,,0.0,0.4707919090691997,0.75
8,,,,0.004327598444138415,0.005136192223631229,2128.854556122089,,,0.043478260869565216,0.2142857142857142,0.7391304347826086
9,,,,0.0008267793893328148,0.008562626482268635,497.5809744199244,,0.27417749337470104,0.0,0.29565008617533844,0.6111111111111112
10,,,,0.011401597787278674,0.0033514964127343005,6114.136299048299,,0.2898341186342219,0.0,0.7055555555555557,0.6296296296296297
11,,,,0.013919158583775364,0.00024388426314064446,60.395630028331524,,0.2793680851891724,0.05555555555555555,0.11677484162422838,0.5277777777777778
12,,,,0.0,0.01920483106418884,-760.3326716165822,,0.304102882896884,0.019230769230769232,0.41140264553371164,0.5961538461538461
13,,,,0.009177401999178126,0.005130229175762953,453.3566704077075,,0.30156724452495925,0.05128205128205128,0.2774167928588263,0.6153846153846154
14,,,,0.01133262983157093,0.0037873711549222602,5446.30251580975,,0.28292987802913644,0.0,-0.03374196088105532,0.6122448979591837
15,,,,0.004518161874902293,0.004398976410244754,-94.19256926030563,,0.4287250463950604,0.0,0.12500000000000006,0.7586206896551724
16,,,,0.0,0.004810310943982083,36.690512491815,,0.48225481737129705,0.0,0.625,0.46153846153846156
17,,,,0.0,0.0021934116926487527,0.0,,0.5517243317687399,0.0,,0.0
18,,,,0.0,0.0010235642804376811,2626.936638644584,,0.6103857952330646,0.0,0.33864810597807815,1.0
19,,,0.0073871592942982576,0.0,0.0032681562136962945,-77.81987692244996,5.500671591959818e-07,0.6949009023312429,0.0,,0.7692307692307693
20,324.32313205996184,341.1955678019421,0.007136403884532419,0.0,0.003003118157783891,-333.22972151885165,5.109535126086959e-07,0.7423454287345664,0.0,0.35714285714285715,0.7
21,330.91241979099533,268.1916668086705,0.0070555201712089516,0.0,0.0008853417434751499,,5.058292780051828e-07,0.799251902489359,0.0,,0.0
22,326.7281305459642,277.6199250961792,0.006932553123885173,0.0,0.0014280720749185556,-3701.7252554016723,4.740072469997833e-07,0.8025141172562698,0.0,0.692820323027551,0.5925925925925926
23,345.42682313978867,180.88068934944465,0.006780424142491198,0.0,0.0014280720749185556,,3.7813592685384665e-07,0.86055878809866,0.0,,1.0
24,325.78883500069986,228.22062804706604,0.006495376879459064,0.0,0.0,0.0,3.48245188557252e-07,0.9283457432864376,0.0,,1.0
25,325.53723046573435,193.5289106223258,0.006108851555110806,0.0,0.0017706949776846049,-102.02402652455636,3.577113403667742e-07,0.9264643690513507,0.0,0.4230769230769229,0.6875
26,321.57033150159987,206.88088558868176,0.006029860358802077,0.0,0.0017706949776846049,0.0,3.0546965576253163e-07,0.9416656928051109,0.0,,1.0
27,283.63065113790805,211.47531776263122,0.005644585791730684,0.0,0.000885326797688797,-90.64589273445866,2.926838753851189e-07,0.940467316656231,0.0,,1.0
28,229.6991089262676,300.27430733302344,0.005547450977075269,0.0,0.000885326797688797,0.0,2.392740543567935e-07,0.9467830396856349,0.0,,1.0
29,193.27244779862232,231.1727728104212,0.004928270524662354,0.0,0.0,0.0,2.2466069742473407e-07,0.9442147370382062,0.0,,1.0
30,210.99162909034982,189.60399490911652,0.004544792265834753,0.0,0.0,0.0,2.0066801498029977e-07,0.9478169934640522,0.0,,1.0
31,264.765284384501,0.0,0.004118819476744713,0.0,0.001053844874653972,189.17756562988825,1.651817557571596e-07,0.9477371987557472,0.0,,1.0
32,167.38546400694287,124.9289395793234,0.0036355217540251865,0.0,0.0008154983314396401,0.0,1.2235568682699245e-07,0.9958985506503361,0.0,,1.0
33,86.41251158868602,133.13144543933166,0.0024677709796518173,0.0,0.0,,1.0302163347803474e-07,0.9954308690487069,0.0,,1.0
34,0.0,180.97648232404742,0.0015275930311580725,0.0,0.00027272315280014255,-20.391592663753556,6.073599052427619e-08,0.9953659723348548,0.0,,0.8823529411764706
35,0.0,108.74345050923705,0.0011624217577965727,0.0,0.0014824745890126556,-240.23761450381474,5.97311601276209e-08,0.9888504017820696,0.0,0.7166666666666668,0.9714285714285714
36,0.0,101.97654933727122,0.0009536490387091373,0.0,0.0007802806646049936,0.0,6.033328759983308e-08,0.9886641212322432,0.0,,1.0
37,0.0,104.04471884329965,0.001101072420760183,0.0,0.0018160689470074261,1491.280994118811,6.663935548889452e-08,0.9285693226645282,0.0,0.8452380952380952,0.7407407407407407
38,0.0,101.48277061024193,0.0010565928063333205,0.0,0.0019520278834919387,-189.08774048870828,5.950106411890467e-08,0.9281750266808966,0.0,,1.0
39,29.215859277681304,79.5616242303731,0.0010381324368202262,1.275441729714891e-05,0.0005797021425732855,,5.1144928140792324e-08,0.9285571059553439,0.0,,1.0
40,74.75281525532282,508.6175636125587,0.005124676474985298,5.626942247903957e-05,0.016557945823016368,2760.300926868225,1.7273443384087576e-07,0.8503290935265437,0.0,0.2501595914621521,0.5964912280701754
41,0.0,806.7517099409965,0.006242652830575264,0.0,0.03754042658268052,7263.303196911498,2.4112146202971464e-07,0.7688575049791779,0.014285714285714285,0.6222605812344464,0.6714285714285714
42,0.0,736.7110302719107,0.0067466846858552495,0.015182006183229006,0.005035522211439783,3644.28391303826,3.6554157451774404e-07,0.6938882247459655,0.02,0.1560924516697365,0.7
