edge_strength,seed,n_raw_trades_used,n_scaffold_bars,n_bars,n_events,n_events_enriched,fracdiff_d,raw_signal_corr,T_raw,tw_mean,T_effective,sr_hat,dsr,pbo,skew,kurtosis,n_trials,wall_clock_sec,error
0.5,3,299753,996,996,481,481,0.4,0.16067389751515368,773,0.14804703311302694,114.44035659636982,-0.05321456789635469,0.1694210661377316,0.2435064935064935,-0.09377533327266056,4.775977962002122,20,29.542293071746826,
0.5,4,299828,996,996,466,465,0.5,0.1565182860823525,660,0.14605426949439926,96.39581786630352,0.04189858306775982,0.43713632788401124,0.19696969696969696,-0.10891002084361685,5.460195156460519,20,30.60818123817444,
0.75,0,399813,997,997,582,580,0.2,0.23463989911853186,826,0.13174645205909227,108.82256940081022,0.08510604275580735,0.7163750394016883,0.3495670995670996,-0.07121959031551885,9.513631886801317,20,34.888370513916016,
0.75,1,399761,997,997,580,573,0.5,0.3033260543880817,949,0.13200939809924908,125.27691879618737,0.07077126029161049,0.7426084847455422,0.6764069264069265,-0.016515585788168342,4.811110588426757,20,33.63792967796326,
0.75,2,399830,997,997,571,567,0.0,0.23916265038560977,833,0.1219091442185182,101.55031713402566,0.08721170889453349,0.6965011615834176,0.3051948051948052,0.861255964361162,6.562183050195321,20,37.396607875823975,
0.75,3,399766,997,997,571,568,0.4,0.25302722528515215,506,0.14133322853198496,71.5146136371844,-0.012684034652717932,0.41839138847428625,0.7056277056277056,0.12599087604318204,6.206833445671673,20,34.19598698616028,
0.75,4,399855,997,996,542,541,0.5,0.31772534716679024,902,0.15359676975896136,138.54428632258313,0.053005384928747616,0.5785572657787672,0.2813852813852814,-0.18528705526868744,5.77948652512227,20,32.529104232788086,
1.0,0,299838,996,996,546,542,0.2,0.3069223504988911,934,0.11903224792251278,111.17611955962694,-0.02868369282766552,0.3524782603089147,0.8181818181818182,-0.8921792126229647,8.099931578152168,20,32.63146758079529,
1.0,1,299857,996,996,565,559,0.30000000000000004,0.3670284621354436,952,0.1069814750564875,101.8463642537761,-0.03315364574175473,0.3152478241206666,0.5746753246753247,-0.39917510192848954,6.162811816690272,20,33.068716526031494,
1.0,2,299829,996,996,569,567,0.30000000000000004,0.27315878833799573,528,0.12286401226829805,64.87219847766137,0.048524599811552556,0.6247840030073325,0.7997835497835498,-0.15437478163780638,4.292482614064861,20,33.67938733100891,
1.0,3,299753,996,996,569,568,0.30000000000000004,0.32526490358539617,633,0.12743212958509417,80.66453802736461,-0.09827995544666723,0.15185400829778223,0.4707792207792208,-0.537790932332313,5.986476481307604,20,33.94650959968567,
1.0,4,299828,996,996,582,582,0.6000000000000001,0.31263210187755935,969,0.10894913712372738,105.57171387289183,0.037956354904273584,0.49584301159557514,0.6471861471861472,0.23821003058516338,6.717342860636361,20,33.58294129371643,
1.5,0,799394,998,998,768,753,0.30000000000000004,0.38488558999457884,755,0.13935823460974128,105.21546713035467,0.04122906935649129,0.59768301751705,0.8116883116883117,0.5934013827220752,6.313137325617403,20,46.37901735305786,
1.5,1,799434,998,998,776,762,0.1,0.3440133149765519,823,0.14321037231294717,117.86213641355552,0.019927461976905564,0.4935541262885201,0.4155844155844156,0.0979855764689863,4.466246552320085,20,49.41205310821533,
1.5,2,799467,998,998,769,757,0.0,0.4186452783755557,902,0.14446569133060583,130.30805358020646,0.11848915742894235,0.8426779589901903,0.30735930735930733,-0.9879114166529996,13.600467202076022,20,46.09304141998291,
1.5,3,799159,998,998,748,733,0.0,0.3837082730924907,232,0.14431374215909173,33.48078818090928,0.06139652432070812,0.5332479767508048,0.09848484848484848,0.9761119135489381,8.677511067563435,20,44.86521625518799,
1.5,4,799541,998,998,770,759,0.2,0.39922982065813556,916,0.1413383328580277,129.46591289795336,0.10770030367313449,0.8617756916305901,0.5595238095238095,0.9711098432020158,10.634937228735435,20,45.22776484489441,
2.0,0,499459,997,997,772,766,0.2,0.4809567148063773,932,0.1136041180517944,105.87903802427239,0.015281712292521276,0.4930379318488892,0.8484848484848485,0.842121642096338,17.364185357966953,20,42.705400228500366,
2.0,1,499952,998,997,745,737,0.6000000000000001,0.41559491492309514,679,0.125818857857182,85.43100448502658,0.0009521150625968004,0.26891083827483375,0.14502164502164502,0.33125832432048463,8.524851601639899,20,40.84005379676819,
2.0,2,499525,997,997,734,711,0.1,0.45239880122852205,932,0.10323439963247931,96.21446045747072,0.009096514859267386,0.43978106158308716,0.4621212121212121,7.450545616012328,151.12545036085893,20,39.8127121925354,
2.0,3,499466,997,997,719,689,0.1,0.44838542716911367,874,0.10104159513643227,88.3103541492418,0.06729288466173097,0.6670666440641926,0.44047619047619047,2.1946765985264696,49.56166248908731,20,38.53264832496643,
2.0,4,499447,997,996,614,601,0.1,0.46998137681885355,711,0.10525676285918957,74.83755839288378,0.007911461269910403,0.3442045041962801,0.7316017316017316,21.97701652304414,555.0131158661701,20,35.963767290115356,
